case_id,category,content_type,user_need,expected_reference_focus,reference_rank,reference_title,retrieval_score,reference_excerpt,human_relevance_score_1_5,human_relevance_label,human_note,action
BLOG_NORMAL_001,normal,Blog,我们需要一篇 Blog，介绍新键盘如何提升远程办公用户的工作效率。,远程办公 | 效率场景 | Blog 结构 | 功能到收益转化,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_NORMAL_001,normal,Blog,我们需要一篇 Blog，介绍新键盘如何提升远程办公用户的工作效率。,远程办公 | 效率场景 | Blog 结构 | 功能到收益转化,2,Blog · SEO Educational,0.8453,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_NORMAL_001,normal,Blog,我们需要一篇 Blog，介绍新键盘如何提升远程办公用户的工作效率。,远程办公 | 效率场景 | Blog 结构 | 功能到收益转化,3,Blog · Keyboard Enthusiast,0.6238,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_NORMAL_002,normal,EDM,我们需要一封 EDM，向海外远程办公用户推广新品键盘，突出舒适手感和无线桌面。,EDM 结构 | 远程办公 | 无线桌面 | CTA,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_NORMAL_002,normal,EDM,我们需要一封 EDM，向海外远程办公用户推广新品键盘，突出舒适手感和无线桌面。,EDM 结构 | 远程办公 | 无线桌面 | CTA,2,EDM · Enthusiast Community,0.895,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_NORMAL_002,normal,EDM,我们需要一封 EDM，向海外远程办公用户推广新品键盘，突出舒适手感和无线桌面。,EDM 结构 | 远程办公 | 无线桌面 | CTA,3,EDM · Nurture Email,0.8937,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_NORMAL_003,normal,Blog,写一篇面向键盘爱好者的 Blog，解释为什么可换轴和结构手感会影响日常输入体验。,键盘爱好者 | 可换轴 | 结构手感 | Blog 清单结构,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_NORMAL_003,normal,Blog,写一篇面向键盘爱好者的 Blog，解释为什么可换轴和结构手感会影响日常输入体验。,键盘爱好者 | 可换轴 | 结构手感 | Blog 清单结构,2,Blog · SEO Educational,0.9058,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_NORMAL_003,normal,Blog,写一篇面向键盘爱好者的 Blog，解释为什么可换轴和结构手感会影响日常输入体验。,键盘爱好者 | 可换轴 | 结构手感 | Blog 清单结构,3,Blog · Keyboard Enthusiast,0.6454,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_NORMAL_004,normal,EDM,为轻薄无线键盘 KeyX Air 写一封 EDM，面向追求整洁桌面的海外办公用户。,EDM | 桌面美学 | 无线连接 | 轻薄产品,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_NORMAL_004,normal,EDM,为轻薄无线键盘 KeyX Air 写一封 EDM，面向追求整洁桌面的海外办公用户。,EDM | 桌面美学 | 无线连接 | 轻薄产品,2,EDM · Enthusiast Community,0.8295,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_NORMAL_004,normal,EDM,为轻薄无线键盘 KeyX Air 写一封 EDM，面向追求整洁桌面的海外办公用户。,EDM | 桌面美学 | 无线连接 | 轻薄产品,3,EDM · Nurture Email,0.8273,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_NORMAL_005,normal,Blog,写一篇 Blog，介绍小配列键盘如何帮助小桌面用户节省空间但保持输入体验。,小桌面 | 紧凑布局 | 办公用户 | Blog PAS,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_NORMAL_005,normal,Blog,写一篇 Blog，介绍小配列键盘如何帮助小桌面用户节省空间但保持输入体验。,小桌面 | 紧凑布局 | 办公用户 | Blog PAS,2,Blog · Professional,0.8689,Blog - Professional (Minimalist Desk Setup): Aesthetic and space-saving focus. Highlight 75% or 65% layouts and wireless connectivity. 'The Minimalist Desk Setup' or 'Clutter-Fr...,,,,
BLOG_NORMAL_005,normal,Blog,写一篇 Blog，介绍小配列键盘如何帮助小桌面用户节省空间但保持输入体验。,小桌面 | 紧凑布局 | 办公用户 | Blog PAS,3,Blog · SEO Educational,0.7797,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
EDM_NORMAL_006,normal,EDM,写一封新品上市 EDM，鼓励海外用户点击了解 KeyX Pro。,新品上市 | EDM CTA | 自定义手感 | 无线桌面,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_NORMAL_006,normal,EDM,写一封新品上市 EDM，鼓励海外用户点击了解 KeyX Pro。,新品上市 | EDM CTA | 自定义手感 | 无线桌面,2,EDM · Enthusiast Community,0.8439,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_NORMAL_006,normal,EDM,写一封新品上市 EDM，鼓励海外用户点击了解 KeyX Pro。,新品上市 | EDM CTA | 自定义手感 | 无线桌面,3,EDM · Nurture Email,0.7683,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_NORMAL_007,normal,Blog,写一篇 Blog，解释创作者为什么需要一把可自定义、无线且视觉可识别的键盘。,创作者桌面 | 自定义 | RGB | 无线,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_NORMAL_007,normal,Blog,写一篇 Blog，解释创作者为什么需要一把可自定义、无线且视觉可识别的键盘。,创作者桌面 | 自定义 | RGB | 无线,2,Blog · SEO Educational,0.705,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_NORMAL_007,normal,Blog,写一篇 Blog，解释创作者为什么需要一把可自定义、无线且视觉可识别的键盘。,创作者桌面 | 自定义 | RGB | 无线,3,Blog · Keyboard Enthusiast,0.55,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_NORMAL_008,normal,EDM,写一封 EDM，面向长时间打字的知识工作者，介绍 KeyX Ergo 的舒适输入体验。,舒适输入 | 办公用户 | EDM 合规 | 避免医疗化,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_NORMAL_008,normal,EDM,写一封 EDM，面向长时间打字的知识工作者，介绍 KeyX Ergo 的舒适输入体验。,舒适输入 | 办公用户 | EDM 合规 | 避免医疗化,2,EDM · Nurture Email,0.8824,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
EDM_NORMAL_008,normal,EDM,写一封 EDM，面向长时间打字的知识工作者，介绍 KeyX Ergo 的舒适输入体验。,舒适输入 | 办公用户 | EDM 合规 | 避免医疗化,3,EDM · Enthusiast Community,0.7775,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
BLOG_NORMAL_009,normal,Blog,写一篇 Blog，讲述如何打造一个更高级、更整洁的桌面输入体验。,桌面美学 | 高端语气 | 无线连接 | Blog,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_NORMAL_009,normal,Blog,写一篇 Blog，讲述如何打造一个更高级、更整洁的桌面输入体验。,桌面美学 | 高端语气 | 无线连接 | Blog,2,Blog · SEO Educational,0.8009,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_NORMAL_009,normal,Blog,写一篇 Blog，讲述如何打造一个更高级、更整洁的桌面输入体验。,桌面美学 | 高端语气 | 无线连接 | Blog,3,Blog · Keyboard Enthusiast,0.7073,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_NORMAL_010,normal,EDM,写一封短 EDM，推广 KeyX Mini 给宿舍、小公寓和小办公桌用户。,小空间 | 短 EDM | 无线桌面 | CTA,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_NORMAL_010,normal,EDM,写一封短 EDM，推广 KeyX Mini 给宿舍、小公寓和小办公桌用户。,小空间 | 短 EDM | 无线桌面 | CTA,2,EDM · Enthusiast Community,0.8525,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_NORMAL_010,normal,EDM,写一封短 EDM，推广 KeyX Mini 给宿舍、小公寓和小办公桌用户。,小空间 | 短 EDM | 无线桌面 | CTA,3,EDM · Nurture Email,0.8506,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_EDGE_011,edge,Blog,只基于无线连接这个特性，写一篇 Blog，介绍它对桌面体验的价值。,无线连接 | 桌面整洁 | 事实一致性,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_EDGE_011,edge,Blog,只基于无线连接这个特性，写一篇 Blog，介绍它对桌面体验的价值。,无线连接 | 桌面整洁 | 事实一致性,2,Blog · Professional,0.8336,Blog - Professional (Minimalist Desk Setup): Aesthetic and space-saving focus. Highlight 75% or 65% layouts and wireless connectivity. 'The Minimalist Desk Setup' or 'Clutter-Fr...,,,,
BLOG_EDGE_011,edge,Blog,只基于无线连接这个特性，写一篇 Blog，介绍它对桌面体验的价值。,无线连接 | 桌面整洁 | 事实一致性,3,Blog · Keyboard Enthusiast,0.7237,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_EDGE_012,edge,EDM,写一封非常短的 EDM，目标是在 80 词以内完成新品种草。,短 EDM | AIDA | 舒适手感,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_EDGE_012,edge,EDM,写一封非常短的 EDM，目标是在 80 词以内完成新品种草。,短 EDM | AIDA | 舒适手感,2,EDM · Enthusiast Community,0.98,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_EDGE_012,edge,EDM,写一封非常短的 EDM，目标是在 80 词以内完成新品种草。,短 EDM | AIDA | 舒适手感,3,EDM · Nurture Email,0.7976,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_EDGE_013,edge,Blog,用户需求很模糊：帮我写一篇键盘文章。,需求澄清能力 | 产品卖点 | Blog 结构,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_EDGE_013,edge,Blog,用户需求很模糊：帮我写一篇键盘文章。,需求澄清能力 | 产品卖点 | Blog 结构,2,Blog · SEO Educational,0.8453,"Blog - SEO Educational: Keyword theme: wireless mechanical keyboard for remote work. Structure: pain point, buying criteria, feature explanation, practical desk scenarios and CT...",,,,
BLOG_EDGE_013,edge,Blog,用户需求很模糊：帮我写一篇键盘文章。,需求澄清能力 | 产品卖点 | Blog 结构,3,Blog · Keyboard Enthusiast,0.6238,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_EDGE_014,edge,EDM,写一封 EDM，但用户希望语气高端、克制，不要太像促销。,高端语气 | EDM | 克制 CTA,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_EDGE_014,edge,EDM,写一封 EDM，但用户希望语气高端、克制，不要太像促销。,高端语气 | EDM | 克制 CTA,2,EDM · Enthusiast Community,0.8525,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
EDM_EDGE_014,edge,EDM,写一封 EDM，但用户希望语气高端、克制，不要太像促销。,高端语气 | EDM | 克制 CTA,3,EDM · Nurture Email,0.8506,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
BLOG_EDGE_015,edge,Blog,写一篇偏技术向的 Blog，但目标读者不是工程师，是普通办公用户。,技术向但易懂 | 低矮设计 | 办公用户,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_EDGE_015,edge,Blog,写一篇偏技术向的 Blog，但目标读者不是工程师，是普通办公用户。,技术向但易懂 | 低矮设计 | 办公用户,2,Blog · Keyboard Enthusiast,0.8362,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
BLOG_EDGE_015,edge,Blog,写一篇偏技术向的 Blog，但目标读者不是工程师，是普通办公用户。,技术向但易懂 | 低矮设计 | 办公用户,3,Blog · Creator Setup,0.8232,"Blog - Creator Setup Story: Position KeyX Pro as part of a creator desk for writing, editing and content planning. Emphasize flow, personalization, low-friction switching across...",,,,
